,artist,song,link,text
319,Air Supply,One Step Closer,/a/air+supply/one+step+closer_20004939.html,"I didn't really walk away I had something to explain   Trying to reach you night and day when I did not know your name   Shall we promise just to talk of it alone, all alone      Why can't the voice that said hello at the moment of first sight   Whisper the words I need to know speak to me that way tonight   Let me hear it travel through the restless sky straight from you   Come to me today      CHORUS   One step closer forward motion   One step nearer our destination   One step closer forward motion   One step nearer our destination      How can I bring myself to sleep till I'm resting by your side   Sharing the secrets hard to keep   When you live them all through the night   And then wake up with the words I'll always want you to say   Come to me today      CHORUS      A lonely man has come undone   Is it wrong to think I understand when you are as close to me   And not much further to go      Let me hear it travel through the restless sky straight from you   Come to me today      CHORUS    "
321,Air Supply,Peaches And Cream,/a/air+supply/peaches+and+cream_20289707.html,"Peaches and cream      The light was on, and everything I felt was strong   I watched as your mascara ran   Didn't get far on that golden tan      I heard you sigh, but I don't wanna see you cry   You looked just like a walking dream   Sweeter than peaches and cream      [Chorus:]   If you want me let me know   I can show you how   If you've got nowhere to go   I can show you now      I'm yours to tame, and I don't even know your name   I like to touch your perfect skin   I can't stop once I begin      To show you more than I have ever shown before   If you could read what's on my mind   Give me yours and I'll give you mine      [Chorus:]      We could be, we could see   More than we know   We should be, we should see   More than we know   And I'd like to know      (Chorus)(Twice)      Sweeter than peaches and cream (If you want me let me know)   Sweeter than peaches and cream (I can show you how)   (Repeat and fade)  "
654,America,Foolin',/a/america/foolin_20007240.html,"You let me follow you around   It helped your status in the town   Well I didn't know your name   There's no truth in what you claim   So I think you better stop this foolin' 'round   I think it's called a lesson learned   When one so close suddenly turns   Leaves you standing on your own   Got no place to call your home   So I think you better stop this foolin' 'round   Now it's my time to make amends   Hope my message don't offend   And I hope this doesn't drive you round the bend   Leaves you standing on your own   Got no place to call your home   So I think you better stop this foolin' 'round   Yes, I think you better stop this foolin' 'round   Yes, I think you better stop this foolin' 'round   (Repeat and fade)    "
770,Annie,Heartbeat,/a/annie/heartbeat_20219478.html,"There was a time   Everybody was around and I was dancing with you   We all went down to the party Friday night   And had a drink there or two   Oh what a heat   I feel love and heart beat   It's electricity   Majestic sound, round and round and round, got you next to me      Feel my heartbeat drumming to the beat   Like a symphony   Feel my heartbeat drumming to the beat   Like a melody, come see      Feel my heartbeat drumming to the beat   Like a symphony   Feel my heartbeat drumming to the beat   Like a melody, come see      Time after time everybody came around   And I was dancing with you   Don't know your name,   Making me ashamed   To feel the way that I do   The lights went out   Couldn't leave without you, this is the place to be   I won't forget   The greatest times I've had when I was dancing with you      Feel my heartbeat drumming to the beat   Like a woman in love   Feel my heartbeat drumming to the beat   Like a woman in love so high      Feel my heartbeat drumming to the beat   Like a symphony   Feel my heartbeat drumming to the beat   Like a melody, come see      Feel my heartbeat   Feel my heartbeat   Feel my heartbeat      There was a time when everybody was around and I was dancing with you   Don't know your name,   Making me ashamed   To feel the way that I do   The lights went out   Couldn't leave without you, this is the place to be   I won't forget   The greatest times I've had when I was dancing with you  "
2023,Bruce Springsteen,Darlington County,/b/bruce+springsteen/darlington+county_20025011.html,"Driving in to darlington county   Me and wayne on the fourth of july   Driving in to darlington county   Looking for some work on the county line   We drove down from new york city   Where the girls are pretty but they just want to know your name   Driving in to darlington city   Got a union connection with an uncle of waynes   We drove eight hundred miles without seeing a cop   We got rock and roll music blasting off the t-top singing      Sha la la la la la la la la, sha la la la la la la      Hey little girl standing on the corner   Todays your lucky day for sure all right   Me and my buddy were from new york city   We got two hundred dollars we want to rock all night   Girl you're looking at two big spenders   Why the world don't know what me and wayne might do   Our pas each own one of the world trade centers   For a kiss and a smile I'll give mine all to you   Come on baby take a seat on my fender   Its a long night and tell me what else were you gonna do   Just me and you we could      Sha la la...      Little girl sitting in the window   Aint seen my buddy in seven days   County man tells me the same thing   He don't work and he don't get paid   Little girl you're so young and pretty   Walk with me and you can have your way   And well leave this darlington city   For a ride down that dixie highway      Driving out of darlington county   My eyes seen the glory of the coming of the lord   Driving out of darlington county   Seen wayne handcuffed to the bumper of a state troopers ford      Sha la la...  "
2392,Chaka Khan,Journey 2 The Center Of Your Heart,/c/chaka+khan/journey+2+the+center+of+your+heart_20028832.html,"I know you've been hurt before   I can see it in your eyes   And if you just shut the door   I would not be surprised   Even though I know you've heard it   These words I'm tryin' to say   I think the others only flirted   With the true meaning of always   Well, you can say what you wanna   But I ain't gonna stop   This journey 2 the center of your heart   I see the candle through your window   It burns there every night   The shadow leaves an innuendo   Of no one holdin' you right   Many nights I've dreamt you near me   But awakened to you gone   I know one day you'll hear me   I don't care how long   Well, you can say what you wanna   But I ain't gonna stop   This journey 2 the center of your heart   I've waited a lifetime, baby   Just to know your name   We've done everything in our minds   Let's stop the game, let's stop it   Even though I know   You've heard these words I'm tryin' to say   Somehow I think these others   They only flirted with the true meaning of always    "
2457,Cheap Trick,Dancing The Night Away,/c/cheap+trick/dancing+the+night+away_20029409.html,"Dancing the night away   Dancing the night away   Dancing the night away   Dancing the night away   So you want to believe      Everything that you read   And you think that you're makin' the grade   (and) just when you're getting it made   You're still in love with her   She'd love you to kiss her   Hopin' you'll miss her      By takin' your mind off the load   Just when you're ready to go   You turn your back on her   You just got your mind on the things ahead   At last you're gonna be free   You'll only miss her   Just after you kiss her      Dancing the night away   Dancing the night away   Dancing the night away   Dancing the night away   Dancing the night away   Dancing the night away      So you turn on the smiles   'cause you think of the time   And nobody knows who you are   You don't think you'll get very far   I don't even know your name   At last they accept you   In case you go next year      And ask you to reach for the sky   And just when you're ready to die   They turn their back on you   So they put you on ice   In survival hotel      And wish you would die from the cold   When all you want is a night alone      Dancing the night away   Dancing the night away   Dancing the night away   Dancing the night away   Dancing the night away   Dancing the night away      Dancing, and the song you sing   Dancing, every move you make   Dancing, makes my body go   Dancing, right across the floor   Dancing   Dancing   Dancing  "
2793,Chris Brown,Main Chick,/c/chris+brown/main+chick_21072364.html,"I don't know your name   But you've heard my name   I know why you came tryna get that, name   But you've heard my name   Girl I know you wanna be my main chick   My main chick   I said fuck whoever you came with   Who you came with, I told her ""fuck that nigga""      Sitting in the back of the club   Table got a rope in the front (I don't know ya)   Uh, you looking real familiar   I could just be a lil' drunk, I don't know your name   It's a goddamn shame   I don't know how to explain it for ya   But girl, I'm just saying,   If you got a man back home, I don't know him   What, just keep it on the hush   Pocket full of trees, don't beat around the bush   Walking on green, I can even hear the putt   K.O shawty when I hit her with a punchline   Get a couple shots when it's crunch time   Ducking from my ex like the one time   Throw a sign when you really tryna go   Got the car parked right at the door      I don't know your name   But you've heard my name   I know why you came tryna get that, name   But you've heard my name   Girl I know you wanna be my main chick   My main chick   I said fuck whoever you came with   Who you came with, I told her ""fuck that nigga""      Nah, and you don't know my name   Just in case you' the Feds (I don't know ya)   Uh I mighta poured you a drink   But don't let it go to your head, I know why you   Came, tryna be my main chick   Passenger side when I lane switch   Top back, two seats only   Ain't no room for your friends, I don't know them   We just seizing the moment   Up all night, throw a deuce to the morning   Fly ma'fucka, everything is imported   Don't try to act too important, I know your game   You got a gang of niggas   All over you but you all over here   On me   Girl, I ain't tryna dog ya   Bad bitch only thing I'll call you      I don't know your name   But you've heard my name   I know why you came tryna get that, name   But you've heard my name   Girl I know you wanna be my main chick   My main chick   I said fuck whoever you came with   Who you came with ('cause you my main) I told her ""fuck that nigga""      Nigga, why you playin'?   You heard my name   I know why you came, she gon' gimme that brain   So we can do our thang   Let's do that thang   What, you thinkin' 'bout me takin' you down yeah   I can be your man when he's not around yeah      I don't know your name   But you've heard my name   I know why you came tryna get that, name   But you've heard my name   Girl I know you wanna be my main chick   My main chick   I said fuck whoever you came with   Who you came with, I told her ""fuck that nigga""  "
4151,Depeche Mode,What's Your Name?,/d/depeche+mode/whats+your+name_20039403.html,"Sometimes watch you walk the street at midnight   Sometimes i can feel you in the air   Looking good knew you would   All the time i understood      Hey you're such a pretty boy   Hey you're such a pretty boy   Hey you're such a pretty boy   You're so pretty      Everybody seems to look your way now   (everybody seems to look your way)   Everybody wants to know your name   (hey, hey, what's your name)   Feeling bright just tonight   Hear them say you're out of sight      Hey you're such a pretty boy   Hey you're such a pretty boy   Hey you're such a pretty boy   You're so pretty      Hey you're such a pretty boy   Hey you're such a pretty boy   Hey you're such a pretty boy   You're so pretty      All the boys we got to get together   All the boys together we can stand   We can go never know   All the things we need to show      Hey you're such a pretty boy   Hey you're such a pretty boy   Hey you're such a pretty boy   You're so pretty      Hey you're such a pretty boy (you're so pretty)   Hey you're such a pretty boy (you're so pretty)   Hey you're such a pretty boy   You're so pretty (p-are-e, double-t-y)      Hey you're such a pretty boy   Hey you're such a pretty boy   You're so pretty  "
4552,Dream Theater,A Nightmare To Remember,/d/dream+theater/a+nightmare+to+remember_20789878.html,"I've got a nightmare to remember   I'll never be the same.   What began as laughter   So soon would turn to pain.      The sky was clear and frigid   The air was thick and still   Now I'm not one to soon forget   And I bet I never will      Picture for a moment   The perfect irony   A flawless new beginning   Eclipsed by tragedy.      The uninvited stranger   Started dancing on his own   So we said goodbye to the glowing bride   And we made our way back home.      Life was so simple then   We were so innocent.   Father and mother   Holding each other.   (Chug chug chug chug)      Without warning   Out of nowhere   Like a bullet   From the night      Crushing glass   Rubber and steel   Scorching fire   Glowing lights      Screams of terror   Pain of fear   Sounds of sirens   Smoke in my eyes      Sudden stillness   Wrapped in silence   No more screaming   No more cries      Stunned and bewildered   Cold and afraid   Torn up and broken   Frightened and dazed      Stunned and bewildered   Cold and afraid   Torn up and broken   Frightened and dazed      Lying on the table   In this unfamiliar place   I'm greeted by a stranger   A man without a face      He said, ""Son do you remember?   Do you even know your name?""   Then he shined a light into my eyes   And said, ""take this for the pain.""      Hopelessly drifting,   Bathing in beautiful agony.   I am endlessly falling,   Lost in this wonderful misery.      In peaceful sedation, I lay half awake   And thought of the panic inside starts to fade.   Hopelessly drifting, bathing in beautiful agony.      ""Tell me does this hurt you?""   Said the faceless man.   ""Can you move all of your fingers?   Can you try your best to stand?""      I asked about the others   ""Is everyone okay?""   He told me not to worry   As he turned and looked away.      Hopelessly drifting,   Bathing in beautiful agony.   I am endlessly falling,   Lost in this wonderful misery.   In peaceful sedation, I lay half awake   And thought of the panic inside starts to fade.   Hopelessly drifting, bathing in beautiful agony.      Day after day   And night after night   We burden the oppressed   Did they ever see the red light?      Over and over   Scene by scene   Like a recurring nightmare haunting my dreams.   How could you prepare      For what would happen next?   The search you'll never have to see   Hi father such a mess.   It's a miracle he lived      It's a blessing no one died   By the grace of God above   Everyone survived      Life was so simple then   We were so innocent.   It will stay with us forever   A nightmare to remember  "
